match_id,team_id,win,dragon_kills,baron_kills,tower_kills,inhibitor_kills,champion_kills,atakhan_kills,horde_kills,total_gold,total_experience
JP1_565975025,200,0,4,1,3,0,20,0,0,63864,76558
JP1_565967983,100,0,0,0,0,0,6,0,3,36672,46205
JP1_565967983,200,1,3,1,5,0,24,0,0,49583,61061
JP1_565946361,100,0,0,0,2,0,13,0,1,42603,48796
JP1_565946361,200,1,3,1,8,1,24,0,2,52224,60697
JP1_565943467,100,1,1,0,3,0,25,0,3,34365,36302
JP1_565943467,200,0,0,0,0,0,8,0,0,25365,28574
JP1_565345575,100,0,1,1,6,1,32,0,0,79864,95266
JP1_565345575,200,1,4,1,9,1,41,0,3,84296,99316
JP1_565338603,100,0,0,0,2,0,20,0,3,55598,71320
JP1_565338603,200,1,4,2,10,2,32,0,0,67461,90673
JP1_564868136,100,0,0,0,0,0,8,0,0,26679,31025
JP1_564868136,200,1,1,0,1,0,12,0,3,29775,37071
JP1_564865442,100,0,0,0,0,0,6,0,0,27890,35933
JP1_564865442,200,1,2,0,6,0,18,0,3,42622,46287
JP1_563279297,100,0,0,0,3,0,20,0,0,45484,54430
JP1_563279297,200,1,2,0,6,1,35,0,3,56786,65578
JP1_565992310,100,1,1,0,4,0,31,0,3,49064,57372
JP1_565992310,200,0,1,0,2,0,9,0,0,39453,43117
JP1_565912661,100,0,0,0,1,0,15,0,0,38858,46511
JP1_565912661,200,1,3,1,6,1,26,0,3,51997,60415
JP1_565892202,100,1,2,1,9,2,30,0,0,55190,63509
JP1_565892202,200,0,1,0,3,0,15,0,3,48399,53503
JP1_565873813,100,0,1,0,2,0,17,0,3,63989,82856
JP1_565873813,200,1,4,2,12,3,30,0,0,73773,89796
JP1_565869800,100,0,1,0,3,0,13,0,0,51541,59874
JP1_565869800,200,1,2,1,9,1,28,0,3,58314,68919
JP1_565858192,100,1,1,1,7,1,30,0,2,54955,65271
JP1_565858192,200,0,1,0,2,0,19,0,1,47338,53626
JP1_565945800,100,0,0,0,2,0,15,0,0,48339,56459
JP1_565945800,200,1,4,0,10,2,33,0,3,60602,68156
