match_id,participant_id,puuid,summoner_name,summoner_id,team_id,champion_id,champion_name,individual_position,rank_tier,rank_division,summoner1_id,summoner2_id,summoner1_name,summoner2_name,item0,item1,item2,item3,item4,item5,item6,win,kills,deaths,assists,gold_earned,champion_experience,total_damage_dealt_to_champions
EUW1_7727494608,2,X1--mQBvjoiwow2suNQUXrx1tB_n-JUmvZIaHv_qLufZNd4APEGg_tjlVShWUu6iV-eAtwOm-9QrFw,,jGxGLmnIeGNukqB9VASLecbJLDjxbM1_sDPXEcy_vR5ws9o,100,126,Jayce,JUNGLE,UNRANKED,,4,11,,,3142,3158,3134,3814,6694,6701,3364,0,3,6,17,16415,17578,47439
EUW1_7727494608,3,_WivYx82ABkYgJujcaKfv9p_S0HWduXD5s-pIhZlnZHujcx6u5L0kKyxiYJZVoZw-KrfjNqHKBLBtQ,,TTCWedBL1u_rkNTCIgMfMpExpmdps6TUDzE6vdSTAhf4y6yfGyYbkC8LRA,100,90,Malzahar,MIDDLE,UNRANKED,,12,4,,,6653,2420,3135,2503,3175,3116,3363,0,7,10,9,15307,18920,28820
EUW1_7727494608,4,o0gJ9cAgFadJBR9AF8f2cevMbXBhPr76d0dtCCBg1p1o8Mk-oiyZJQsTbR36mqaO79CZ1nMK0A0yUw,,PSgKjOqWLBUH9oZRhuwuDo6Vdf4D-1zkPPWEUBeG-bn3tC4,100,15,Sivir,BOTTOM,UNRANKED,,4,6,,,6675,3032,3031,3036,3139,1036,3363,0,6,7,10,19472,19701,40587
EUW1_7727494608,5,dYgDZZRLVqQDh9rHszqm7KIi_ADFcKjolhRMzXjprFGK1QYTXGtva25GYwgppGdIpiTw1Ll5t3g-tQ,,Nj0AmJA2io6Ib3OvG-TK2G2n6QQ3bgEsjhAav_CEdPEKv_Y,100,161,Velkoz,SUPPORT,UNRANKED,,7,4,,,3158,6655,3137,3871,6653,3916,3364,0,6,8,18,12292,12769,48407
EUW1_7727494608,6,mVKJVSbzmYcwgJKs_o-Z60BZZfpL3cmBdy21D8_hF7PZNK-l_Jvk3DgEn8qtGd66UVc1I_GZpyMK_A,,f3vQMs-3ix8Kh9g7yP5BvBJweFxNqAwA9PPB5eMr89BLnhcXunnnpcBn2Q,200,27,Singed,TOP,UNRANKED,,4,14,,,6653,3143,3009,4401,2525,3116,3363,1,9,6,21,16560,22340,29035
EUW1_7727494608,7,HO8DRJpgofk7recNHPRLIOFx6t_9IXAayCAjibglCnSxqUdWGAUiCIG5o-iorOS90xD8_6Im51VM0A,,FGtdcZNJYHjHi1DoUFzMycdg-wnhJzcfiXNCzy9s2ZUnjOP3OAV1HPKhcQ,200,799,Ambessa,JUNGLE,UNRANKED,,11,4,,,6610,3139,6698,3026,6333,6694,3364,1,16,5,15,21471,24351,51600
EUW1_7727494608,8,Y8wUhfisn8avUU0FGFGQWLaGKBPIXcZtO3xto8RNJJAwi5K_SCUXsrEUwtO1zAsU789WRBrJtivQRg,,c4pA-lOt8Ij130lnUeWGUiOjU--6CLk8ZSwt6s84QYJcHMGX,200,3,Galio,MIDDLE,UNRANKED,,4,12,,,3152,3157,3110,4633,3173,3076,3340,1,4,4,23,16247,22992,24622
EUW1_7727494608,9,qpYX7c9eIeoL4R9VdZUtyWCU9Ptq4dyG0dAi_svEAhSECiaiSUiTWNgcXxozeu738uK0VSIz9-Jphw,,dbzkkB9mRP1GstP4N90VcjtVqKvvzDLXrn0S1mmkjItubH_V,200,800,Mel,BOTTOM,UNRANKED,,12,4,,,4645,3157,1052,3089,4630,2503,3363,1,11,6,7,18611,19332,22701
EUW1_7727494608,10,Y06uHAZ68ZHZEeMjqUJqYGqfbxD3DsfTEcTdoKc9pNcrtKldBeX-i05uQhe5SWrWif7dDbV6D9Q4fA,,EKjTxFLZiOEaWEiMDocRQ4x4vlgpKmxmqOI5SN-SmZX2hIQ,200,12,Alistar,SUPPORT,UNRANKED,,4,7,,,3158,3190,1011,3876,3050,2524,3364,1,2,12,28,11410,14605,8453
EUW1_7737556117,1,RrRAeFunTkMKEM3d-pMoBPpM18qcYYPj1Jdv1IiNLa0peU0TQgD2DY1b8Vs_jTjr6GGSVA9ywZma0Q,,osdUuaJ6N7F8P5HBsIKVzVeXpBTquZAFQNfwNJO6rBbSDu567UqENzZmJg,100,64,LeeSin,TOP,UNRANKED,,14,4,,,3074,1055,2055,6610,3047,6333,3340,1,9,6,9,13979,17438,28532
